symbol,date,open,high,low,close,volume,adjclose,Return,MA20,MA50,Volatility,RSI,Target
^FCHI,2010-03-12,3933.969970703125,3956.419921875,3919.070068359375,3927.39990234375,114568600.0,3927.39990234375,-0.0003945198710567,3791.305493164063,3820.455795898437,0.0106797674816303,67.27453130350523,0
^FCHI,2010-03-15,3921.0,3925.860107421875,3889.1298828125,3890.909912109375,94752800.0,3890.909912109375,-0.0092911318281081,3805.389990234375,3817.9945947265614,0.0111104609292299,69.11399576321305,1
^FCHI,2010-03-16,3914.389892578125,3951.469970703125,3910.81005859375,3938.949951171875,108838800.0,3938.949951171875,0.0123467364055356,3818.885485839844,3816.5153955078126,0.0108931955261607,71.45382700386702,1
^FCHI,2010-03-17,3954.300048828125,3967.510009765625,3943.169921875,3957.889892578125,124548900.0,3957.889892578125,0.0048083732063199,3830.519482421875,3815.319794921875,0.0105472940089024,84.14442766183289,0
^FCHI,2010-03-18,3936.93994140625,3964.780029296875,3923.260009765625,3938.179931640625,125638800.0,3938.179931640625,-0.0049799164384184,3840.036975097656,3813.587392578125,0.0106714426881768,77.56571774610927,0
^FCHI,2010-03-19,3953.43994140625,3963.530029296875,3906.110107421875,3925.43994140625,184326800.0,3925.43994140625,-0.0032349944531527,3847.831970214844,3811.193393554688,0.0107171883755086,71.1785955448953,1
^FCHI,2010-03-22,3908.550048828125,3928.0,3868.02001953125,3928.0,119579800.0,3928.0,0.0006521711278131,3856.39697265625,3808.891591796875,0.0106459722923475,67.68218304285995,1
^FCHI,2010-03-23,3927.6201171875,3962.199951171875,3926.8701171875,3952.550048828125,111188200.0,3952.550048828125,0.0062500124307853,3868.6714721679687,3807.941591796875,0.0100261249798291,67.07532293544475,0
^FCHI,2010-03-24,3960.27001953125,3966.9599609375,3907.85009765625,3949.81005859375,132041600.0,3949.81005859375,-0.0006932208828543,3880.377978515625,3806.920590820313,0.0100635674006749,69.52900710774091,1
^FCHI,2010-03-25,3951.7099609375,4008.699951171875,3950.949951171875,4000.47998046875,137603800.0,4000.47998046875,0.012828445196942,3898.3634765625,3806.6147900390624,0.008653828005357,66.11207687267962,0
^FCHI,2010-03-26,3990.989990234375,4002.919921875,3979.8701171875,3988.929931640625,105178200.0,3988.929931640625,-0.0028871657612373,3912.369970703125,3807.305791015625,0.0081565645585432,65.02548804471942,1
^FCHI,2010-03-29,4002.1298828125,4017.639892578125,3971.1201171875,4000.659912109375,99561400.0,4000.659912109375,0.0029406333702948,3923.9259643554688,3807.769790039063,0.0075892144561873,65.66114740379814,0
